prompt_type,metric,base_mean,base_ci,instruct_mean,instruct_ci,diff,diff_ci,cohens_d,U_statistic,p_value,p_corrected
self_reference,mean_entropy,0.6609050046531354,"[0.6411, 0.6814]",0.38962166633061485,"[0.3749, 0.4041]",0.27128333832252055,"[0.2463, 0.2963]",1.0568601276542644,496891.0,1.1043909180411756e-81,3.3131727541235267e-81
self_reference,initial_entropy,2.2322976569645108,"[2.1806, 2.2827]",0.3622910207137465,"[0.3325, 0.3925]",1.8700066362507641,"[1.8112, 1.9288]",3.105727735537289,622400.0,4.5865426620268775e-238,2.7519255972161264e-237
structured_novelty,mean_entropy,0.6751348320898338,"[0.6516, 0.6990]",0.5354375537499125,"[0.5212, 0.5502]",0.1396972783399213,"[0.1118, 0.1679]",0.492410022740825,402725.0,3.4785917299718956e-19,3.4785917299718956e-19
structured_novelty,initial_entropy,2.2383096925914288,"[2.1972, 2.2797]",0.49503664709627626,"[0.4617, 0.5285]",1.7432730454951524,"[1.6900, 1.7966]",3.231599021838813,628100.0,1.3822197259915487e-244,1.1057757807932389e-243
topic_control,mean_entropy,0.5755465699006713,"[0.5592, 0.5923]",0.33994051561781885,"[0.3264, 0.3542]",0.23560605428285247,"[0.2143, 0.2572]",1.0701809010885073,509270.0,3.0762800113579185e-93,1.2305120045431674e-92
topic_control,initial_entropy,1.8837667312473059,"[1.8335, 1.9339]",0.27782001364976167,"[0.2534, 0.3029]",1.6059467175975441,"[1.5507, 1.6621]",2.8312248483111166,621400.0,5.941796749517736e-238,2.970898374758868e-237
unconstrained,mean_entropy,0.6598853459014399,"[0.6335, 0.6863]",0.3919227725236653,"[0.3815, 0.4025]",0.26796257337777457,"[0.2392, 0.2963]",0.9052376544011242,469613.0,5.840124385850681e-59,1.1680248771701363e-58
unconstrained,initial_entropy,2.6573698543012143,"[2.6166, 2.6968]",0.6839571453630924,"[0.6428, 0.7254]",1.973412708938122,"[1.9163, 2.0301]",3.37810123912148,624150.0,1.2770939771766001e-238,8.939657840236201e-238
